attempt_id,student_id,topic_id,quiz_score,recent_quiz_score,historical_topic_score,attempts_count,total_time_spent,prerequisite_completion_rate,score_trend,engagement_frequency,topic_difficulty_numeric,target_struggling,timestamp
1,1,1,77.3,75.0,75.0,1,96,1.0,0.0,1,1,0,2026-01-03 05:00:00
2,1,2,33.7,77.3,77.3,1,127,1.0,0.0,2,1,1,2026-01-05 02:00:00
3,1,2,70.3,55.5,55.5,2,236,1.0,0.0,3,1,0,2026-01-06 12:00:00
4,1,2,79.9,60.43,60.43,3,314,1.0,0.0,4,1,0,2026-01-07 19:00:00
5,1,3,57.3,61.3,65.3,1,72,1.0,-4.0,5,2,1,2026-01-08 01:00:00
6,1,4,60.0,69.17,63.7,1,99,0.0,5.47,6,2,1,2026-01-08 18:00:00
7,1,5,51.6,65.73,63.08,1,63,0.0,2.65,7,3,1,2026-01-09 22:00:00
8,1,6,80.4,56.3,61.44,1,126,1.0,-5.14,8,1,0,2026-01-11 10:00:00
9,1,7,45.8,64.0,63.81,1,113,1.0,0.19,9,2,1,2026-01-13 05:00:00
10,1,8,81.3,59.27,61.81,1,80,1.0,-2.54,10,2,0,2026-01-14 07:00:00
11,1,9,33.3,69.17,63.76,1,55,1.0,5.41,11,3,1,2026-01-15 02:00:00
12,1,10,73.2,53.47,60.99,1,117,1.0,-7.52,12,2,0,2026-01-16 06:00:00
13,1,11,82.9,62.6,62.01,1,87,0.5,0.59,13,1,0,2026-01-16 18:00:00
14,2,1,79.7,75.0,75.0,1,134,1.0,0.0,1,1,0,2026-01-06 18:00:00
15,2,2,69.0,79.7,79.7,1,78,1.0,0.0,2,1,1,2026-01-08 09:00:00
16,2,2,74.2,74.35,74.35,2,176,1.0,0.0,3,1,0,2026-01-10 08:00:00
17,2,2,83.0,74.3,74.3,3,286,1.0,0.0,4,1,0,2026-01-10 21:00:00
18,2,3,49.8,75.4,76.47,1,110,1.0,-1.08,5,2,1,2026-01-11 16:00:00
19,2,4,88.6,69.0,71.14,1,100,0.0,-2.14,6,2,0,2026-01-12 21:00:00
20,2,5,79.6,73.8,74.05,1,122,1.0,-0.25,7,3,0,2026-01-14 15:00:00
21,2,5,81.9,72.67,74.84,2,210,1.0,-2.18,8,3,0,2026-01-15 15:00:00
22,2,5,68.6,83.37,75.72,3,317,1.0,7.64,9,3,1,2026-01-17 15:00:00
23,2,6,99.9,76.7,74.93,1,112,1.0,1.77,10,1,0,2026-01-19 07:00:00
24,2,7,32.8,83.47,77.43,1,120,1.0,6.04,11,2,1,2026-01-20 05:00:00
25,2,7,77.6,67.1,73.37,2,244,1.0,-6.27,11,2,0,2026-01-22 01:00:00
26,2,8,82.0,70.1,73.72,1,87,1.0,-3.62,11,2,0,2026-01-23 19:00:00
27,2,9,33.4,64.13,74.36,1,79,1.0,-10.23,10,3,1,2026-01-25 13:00:00
28,2,9,52.5,64.33,71.44,2,214,1.0,-7.1,9,3,1,2026-01-27 10:00:00
29,2,9,47.2,55.97,70.17,3,330,1.0,-14.21,10,3,1,2026-01-28 11:00:00
30,2,10,81.2,44.37,68.74,1,95,1.0,-24.37,9,2,0,2026-01-30 03:00:00
31,2,10,49.3,60.3,69.47,2,236,1.0,-9.17,10,2,1,2026-01-31 05:00:00
32,2,10,59.1,59.23,68.35,3,348,1.0,-9.12,10,2,1,2026-01-31 16:00:00
33,2,11,72.9,63.2,67.86,1,133,1.0,-4.66,11,1,0,2026-02-02 02:00:00
34,2,12,55.9,60.43,68.12,1,111,0.5,-7.68,11,2,1,2026-02-02 07:00:00
35,2,13,48.4,62.63,67.53,1,151,0.0,-4.9,11,2,1,2026-02-03 22:00:00
36,2,13,45.8,59.07,66.66,2,296,0.0,-7.6,11,2,1,2026-02-05 18:00:00
37,2,14,92.6,50.03,65.76,1,105,0.5,-15.72,12,3,0,2026-02-06 11:00:00
38,2,14,37.9,62.27,66.88,2,234,0.5,-4.61,12,3,1,2026-02-07 02:00:00
39,2,14,55.5,58.77,65.72,3,356,0.5,-6.95,12,3,1,2026-02-08 13:00:00
40,2,15,54.6,62.0,65.32,1,137,1.0,-3.32,13,2,1,2026-02-09 15:00:00
41,3,1,73.5,75.0,75.0,1,120,1.0,0.0,1,1,0,2026-01-08 11:00:00
42,3,2,84.6,73.5,73.5,1,153,1.0,0.0,2,1,0,2026-01-09 15:00:00
43,3,2,35.6,79.05,79.05,2,314,1.0,0.0,3,1,1,2026-01-10 05:00:00
44,3,2,68.0,64.57,64.57,3,418,1.0,0.0,4,1,1,2026-01-10 12:00:00
45,3,3,57.3,62.73,65.42,1,116,1.0,-2.69,5,2,1,2026-01-12 09:00:00
46,3,3,70.9,53.63,63.8,2,215,1.0,-10.17,6,2,0,2026-01-12 23:00:00
