id,student_id,topic_id,text,timestamp
1,1,2,Good topic structure and smooth difficulty curve.,2026-01-07 19:00:00
2,1,4,Struggled with the quiz questions on this topic.,2026-01-08 18:00:00
3,1,7,Need more examples and visual explanations.,2026-01-13 05:00:00
4,1,11,Clear explanation! Really enjoyed this section.,2026-01-16 18:00:00
5,2,3,I had trouble understanding the step-by-step logic.,2026-01-11 16:00:00
6,2,5,Need more examples and visual explanations.,2026-01-17 15:00:00
7,2,8,"Great overview, ready for the next challenge.",2026-01-23 19:00:00
8,2,9,Struggled with the quiz questions on this topic.,2026-01-28 11:00:00
9,2,11,Clear explanation! Really enjoyed this section.,2026-02-02 02:00:00
10,2,12,The prerequisites for this concept were tricky for me.,2026-02-02 07:00:00
11,3,14,Need more examples and visual explanations.,2026-02-03 07:00:00
12,3,18,Need more examples and visual explanations.,2026-02-10 17:00:00
13,4,2,Good topic structure and smooth difficulty curve.,2026-01-24 09:00:00
14,4,3,I felt confused by the math behind this topic.,2026-01-29 01:00:00
15,4,6,Struggled with the quiz questions on this topic.,2026-02-01 09:00:00
16,4,8,Understood everything on the first try.,2026-02-02 16:00:00
17,5,5,The prerequisites for this concept were tricky for me.,2026-02-01 21:00:00
18,5,8,I felt confused by the math behind this topic.,2026-02-06 17:00:00
19,5,12,Understood everything on the first try.,2026-02-12 20:00:00
20,6,3,The examples made this concept easy to understand.,2026-01-14 01:00:00
21,6,5,Clear explanation! Really enjoyed this section.,2026-01-18 18:00:00
22,6,6,"Great overview, ready for the next challenge.",2026-01-23 09:00:00
23,6,7,The prerequisites for this concept were tricky for me.,2026-01-23 18:00:00
24,6,12,The examples made this concept easy to understand.,2026-01-30 13:00:00
25,6,13,Clear explanation! Really enjoyed this section.,2026-01-31 18:00:00
26,6,14,"Great overview, ready for the next challenge.",2026-02-02 16:00:00
27,7,2,Understood everything on the first try.,2026-01-16 18:00:00
28,7,8,Understood everything on the first try.,2026-01-29 20:00:00
29,8,6,"Great overview, ready for the next challenge.",2026-02-10 00:00:00
30,8,10,Struggled with the quiz questions on this topic.,2026-02-16 22:00:00
31,9,7,I had trouble understanding the step-by-step logic.,2026-01-23 15:00:00
32,9,11,Struggled with the quiz questions on this topic.,2026-01-28 20:00:00
33,10,3,I felt confused by the math behind this topic.,2026-02-04 18:00:00
34,10,5,I had trouble understanding the step-by-step logic.,2026-02-11 11:00:00
35,10,10,"Great overview, ready for the next challenge.",2026-02-27 14:00:00
36,10,11,Struggled with the quiz questions on this topic.,2026-02-28 23:00:00
37,10,16,The prerequisites for this concept were tricky for me.,2026-03-11 09:00:00
38,10,18,Need more examples and visual explanations.,2026-03-13 20:00:00
39,11,2,Good topic structure and smooth difficulty curve.,2026-01-24 21:00:00
40,11,3,Understood everything on the first try.,2026-01-28 14:00:00
41,11,12,Understood everything on the first try.,2026-02-06 09:00:00
42,11,18,Good topic structure and smooth difficulty curve.,2026-02-13 04:00:00
43,12,1,Good topic structure and smooth difficulty curve.,2026-01-31 18:00:00
44,12,2,The examples made this concept easy to understand.,2026-02-02 14:00:00
45,12,5,Need more examples and visual explanations.,2026-02-09 10:00:00
46,12,6,Need more examples and visual explanations.,2026-02-13 16:00:00
47,12,8,Good topic structure and smooth difficulty curve.,2026-02-18 17:00:00
48,12,9,The prerequisites for this concept were tricky for me.,2026-02-20 10:00:00
49,12,11,Clear explanation! Really enjoyed this section.,2026-02-22 11:00:00
50,13,2,Struggled with the quiz questions on this topic.,2026-01-31 00:00:00
51,13,4,I felt confused by the math behind this topic.,2026-02-04 19:00:00
52,13,8,The examples made this concept easy to understand.,2026-02-12 07:00:00
53,13,11,"Great overview, ready for the next challenge.",2026-02-17 15:00:00
54,13,17,I had trouble understanding the step-by-step logic.,2026-03-01 01:00:00
55,13,18,The prerequisites for this concept were tricky for me.,2026-03-03 15:00:00
56,13,19,Need more examples and visual explanations.,2026-03-07 04:00:00
57,14,1,"Great overview, ready for the next challenge.",2026-01-23 22:00:00
58,14,3,I felt confused by the math behind this topic.,2026-01-29 02:00:00
59,14,6,Clear explanation! Really enjoyed this section.,2026-02-01 02:00:00
60,14,8,Understood everything on the first try.,2026-02-02 18:00:00
61,14,9,Struggled with the quiz questions on this topic.,2026-02-03 15:00:00
62,14,10,Clear explanation! Really enjoyed this section.,2026-02-04 01:00:00
63,15,8,I had trouble understanding the step-by-step logic.,2026-01-30 15:00:00
64,15,11,Clear explanation! Really enjoyed this section.,2026-02-04 10:00:00
65,15,12,Good topic structure and smooth difficulty curve.,2026-02-04 22:00:00
66,16,1,The examples made this concept easy to understand.,2026-01-31 06:00:00
67,16,7,I had trouble understanding the step-by-step logic.,2026-02-05 04:00:00
68,16,8,"Great overview, ready for the next challenge.",2026-02-06 17:00:00
69,16,9,I had trouble understanding the step-by-step logic.,2026-02-08 17:00:00
70,16,10,Understood everything on the first try.,2026-02-09 13:00:00
71,16,14,I felt confused by the math behind this topic.,2026-02-14 04:00:00
72,16,17,Understood everything on the first try.,2026-02-20 07:00:00
73,16,18,Understood everything on the first try.,2026-02-21 22:00:00
74,16,19,"Great overview, ready for the next challenge.",2026-02-23 14:00:00
75,17,1,The examples made this concept easy to understand.,2026-01-03 23:00:00
76,17,2,Good topic structure and smooth difficulty curve.,2026-01-05 02:00:00
77,17,6,Understood everything on the first try.,2026-01-08 21:00:00
78,17,8,Struggled with the quiz questions on this topic.,2026-01-11 13:00:00
79,17,13,Struggled with the quiz questions on this topic.,2026-01-21 00:00:00
80,17,14,Understood everything on the first try.,2026-01-21 15:00:00
81,18,3,The examples made this concept easy to understand.,2026-02-02 07:00:00
82,18,8,"Great overview, ready for the next challenge.",2026-02-11 14:00:00
83,18,9,Need more examples and visual explanations.,2026-02-11 20:00:00
84,18,14,The prerequisites for this concept were tricky for me.,2026-02-20 05:00:00
85,19,1,"Great overview, ready for the next challenge.",2026-01-31 09:00:00
86,19,8,Need more examples and visual explanations.,2026-02-07 23:00:00
87,19,9,Clear explanation! Really enjoyed this section.,2026-02-08 18:00:00
88,20,1,I felt confused by the math behind this topic.,2026-01-26 01:00:00
