id,student_id,topic_id,score,time_spent,attempts,timestamp
1,1,1,77.3,96,1,2026-01-03 05:00:00
2,1,2,33.7,127,1,2026-01-05 02:00:00
3,1,2,70.3,109,2,2026-01-06 12:00:00
4,1,2,79.9,78,3,2026-01-07 19:00:00
5,1,3,57.3,72,1,2026-01-08 01:00:00
6,1,4,60.0,99,1,2026-01-08 18:00:00
7,1,5,51.6,63,1,2026-01-09 22:00:00
8,1,6,80.4,126,1,2026-01-11 10:00:00
9,1,7,45.8,113,1,2026-01-13 05:00:00
10,1,8,81.3,80,1,2026-01-14 07:00:00
11,1,9,33.3,55,1,2026-01-15 02:00:00
12,1,10,73.2,117,1,2026-01-16 06:00:00
13,1,11,82.9,87,1,2026-01-16 18:00:00
14,2,1,79.7,134,1,2026-01-06 18:00:00
15,2,2,69.0,78,1,2026-01-08 09:00:00
16,2,2,74.2,98,2,2026-01-10 08:00:00
17,2,2,83.0,110,3,2026-01-10 21:00:00
18,2,3,49.8,110,1,2026-01-11 16:00:00
19,2,4,88.6,100,1,2026-01-12 21:00:00
20,2,5,79.6,122,1,2026-01-14 15:00:00
21,2,5,81.9,88,2,2026-01-15 15:00:00
22,2,5,68.6,107,3,2026-01-17 15:00:00
23,2,6,99.9,112,1,2026-01-19 07:00:00
24,2,7,32.8,120,1,2026-01-20 05:00:00
25,2,7,77.6,124,2,2026-01-22 01:00:00
26,2,8,82.0,87,1,2026-01-23 19:00:00
27,2,9,33.4,79,1,2026-01-25 13:00:00
28,2,9,52.5,135,2,2026-01-27 10:00:00
29,2,9,47.2,116,3,2026-01-28 11:00:00
30,2,10,81.2,95,1,2026-01-30 03:00:00
31,2,10,49.3,141,2,2026-01-31 05:00:00
32,2,10,59.1,112,3,2026-01-31 16:00:00
33,2,11,72.9,133,1,2026-02-02 02:00:00
34,2,12,55.9,111,1,2026-02-02 07:00:00
35,2,13,48.4,151,1,2026-02-03 22:00:00
36,2,13,45.8,145,2,2026-02-05 18:00:00
37,2,14,92.6,105,1,2026-02-06 11:00:00
38,2,14,37.9,129,2,2026-02-07 02:00:00
39,2,14,55.5,122,3,2026-02-08 13:00:00
40,2,15,54.6,137,1,2026-02-09 15:00:00
41,3,1,73.5,120,1,2026-01-08 11:00:00
42,3,2,84.6,153,1,2026-01-09 15:00:00
43,3,2,35.6,161,2,2026-01-10 05:00:00
44,3,2,68.0,104,3,2026-01-10 12:00:00
45,3,3,57.3,116,1,2026-01-12 09:00:00
46,3,3,70.9,99,2,2026-01-12 23:00:00
47,3,3,78.7,134,3,2026-01-13 20:00:00
48,3,4,44.6,154,1,2026-01-15 10:00:00
49,3,4,34.1,170,2,2026-01-16 03:00:00
50,3,5,62.6,141,1,2026-01-16 23:00:00
51,3,6,64.4,172,1,2026-01-18 16:00:00
52,3,7,51.2,112,1,2026-01-18 23:00:00
53,3,8,95.7,105,1,2026-01-20 15:00:00
54,3,9,35.1,138,1,2026-01-21 12:00:00
55,3,10,53.0,147,1,2026-01-22 17:00:00
56,3,10,93.8,139,2,2026-01-24 01:00:00
57,3,10,65.0,98,3,2026-01-24 22:00:00
58,3,11,48.3,138,1,2026-01-25 07:00:00
59,3,11,99.0,113,2,2026-01-26 21:00:00
60,3,11,43.5,153,3,2026-01-27 21:00:00
61,3,12,88.8,147,1,2026-01-28 04:00:00
62,3,12,30.0,121,2,2026-01-28 18:00:00
63,3,12,42.0,129,3,2026-01-29 06:00:00
64,3,13,36.6,118,1,2026-01-31 04:00:00
65,3,14,30.0,138,1,2026-01-31 13:00:00
66,3,14,57.1,159,2,2026-02-02 06:00:00
67,3,14,69.4,120,3,2026-02-03 07:00:00
68,3,15,81.0,150,1,2026-02-03 17:00:00
69,3,16,35.7,129,1,2026-02-05 14:00:00
70,3,17,36.0,124,1,2026-02-06 07:00:00
71,3,17,35.6,137,2,2026-02-06 16:00:00
72,3,17,35.6,119,3,2026-02-07 23:00:00
73,3,18,57.5,128,1,2026-02-08 21:00:00
74,3,18,37.5,116,2,2026-02-10 10:00:00
75,3,18,61.7,179,3,2026-02-10 17:00:00
76,3,19,30.5,140,1,2026-02-12 06:00:00
77,3,20,36.9,126,1,2026-02-13 09:00:00
78,3,20,77.9,144,2,2026-02-15 02:00:00
79,4,1,46.9,87,1,2026-01-23 12:00:00
80,4,2,72.4,85,1,2026-01-24 09:00:00
81,4,3,42.4,102,1,2026-01-26 08:00:00
82,4,3,83.0,105,2,2026-01-27 03:00:00
83,4,3,59.6,79,3,2026-01-29 01:00:00
84,4,4,93.5,78,1,2026-01-30 03:00:00
85,4,5,31.2,84,1,2026-01-30 14:00:00
86,4,5,99.3,43,2,2026-01-30 22:00:00
87,4,6,36.7,59,1,2026-02-01 09:00:00
88,4,7,30.1,117,1,2026-02-02 03:00:00
89,4,8,98.8,122,1,2026-02-02 16:00:00
90,4,9,52.8,85,1,2026-02-03 13:00:00
91,4,9,94.1,101,2,2026-02-03 20:00:00
92,4,10,83.7,96,1,2026-02-04 20:00:00
93,4,10,59.5,151,2,2026-02-06 12:00:00
94,4,11,51.8,112,1,2026-02-07 04:00:00
95,4,12,95.2,87,1,2026-02-08 18:00:00
96,4,13,85.9,70,1,2026-02-09 17:00:00
97,4,14,97.6,57,1,2026-02-10 14:00:00
98,5,1,74.0,64,1,2026-01-28 17:00:00
99,5,2,77.8,44,1,2026-01-29 05:00:00
100,5,3,72.2,31,1,2026-01-30 13:00:00
101,5,4,84.0,47,1,2026-01-30 23:00:00
102,5,5,95.6,38,1,2026-01-31 22:00:00
103,5,5,57.8,93,2,2026-02-01 21:00:00
104,5,6,79.0,77,1,2026-02-03 09:00:00
105,5,6,86.5,59,2,2026-02-04 17:00:00
106,5,7,93.4,89,1,2026-02-04 21:00:00
107,5,8,33.4,61,1,2026-02-06 17:00:00
108,5,9,73.9,42,1,2026-02-08 14:00:00
109,5,10,91.7,90,1,2026-02-10 06:00:00
110,5,11,41.0,70,1,2026-02-10 23:00:00
111,5,12,82.4,39,1,2026-02-12 20:00:00
112,5,13,93.9,56,1,2026-02-13 12:00:00
113,5,14,43.7,42,1,2026-02-15 02:00:00
114,5,15,70.9,32,1,2026-02-16 02:00:00
115,5,16,89.7,78,1,2026-02-16 16:00:00
116,5,17,95.2,98,1,2026-02-17 20:00:00
117,6,1,87.0,32,1,2026-01-12 00:00:00
118,6,2,77.0,71,1,2026-01-12 06:00:00
119,6,3,73.9,46,1,2026-01-14 01:00:00
120,6,4,95.4,50,1,2026-01-14 14:00:00
121,6,5,79.7,48,1,2026-01-15 00:00:00
122,6,5,55.9,42,2,2026-01-16 20:00:00
123,6,5,75.3,60,3,2026-01-18 18:00:00
124,6,6,93.1,43,1,2026-01-19 23:00:00
125,6,6,94.3,65,2,2026-01-21 17:00:00
126,6,6,84.9,58,3,2026-01-23 09:00:00
127,6,7,56.7,55,1,2026-01-23 18:00:00
128,6,8,93.6,41,1,2026-01-24 02:00:00
129,6,9,81.4,48,1,2026-01-25 08:00:00
130,6,10,76.8,75,1,2026-01-27 05:00:00
131,6,10,77.8,70,2,2026-01-28 03:00:00
132,6,10,36.4,40,3,2026-01-28 17:00:00
133,6,11,82.9,61,1,2026-01-30 03:00:00
134,6,12,99.2,75,1,2026-01-30 13:00:00
135,6,13,95.2,30,1,2026-01-31 18:00:00
136,6,14,84.4,70,1,2026-02-02 16:00:00
137,6,15,81.9,46,1,2026-02-03 03:00:00
138,6,15,75.5,71,2,2026-02-05 00:00:00
139,7,1,78.1,44,1,2026-01-14 20:00:00
140,7,2,86.2,30,1,2026-01-16 18:00:00
141,7,3,98.1,30,1,2026-01-18 08:00:00
142,7,3,97.1,60,2,2026-01-19 07:00:00
143,7,4,88.6,65,1,2026-01-20 23:00:00
144,7,5,35.0,41,1,2026-01-21 16:00:00
145,7,6,77.7,72,1,2026-01-22 05:00:00
146,7,6,86.6,30,2,2026-01-23 09:00:00
147,7,6,88.7,58,3,2026-01-23 13:00:00
148,7,7,98.9,35,1,2026-01-25 06:00:00
149,7,8,40.5,46,1,2026-01-26 08:00:00
150,7,8,75.2,60,2,2026-01-28 02:00:00
151,7,8,82.1,42,3,2026-01-29 20:00:00
152,7,9,93.8,52,1,2026-01-30 01:00:00
153,7,9,68.8,80,2,2026-02-01 01:00:00
154,7,10,82.5,48,1,2026-02-02 01:00:00
155,7,11,96.0,76,1,2026-02-03 12:00:00
156,7,11,91.3,37,2,2026-02-04 02:00:00
157,7,12,95.0,70,1,2026-02-04 17:00:00
158,7,13,94.7,88,1,2026-02-05 09:00:00
159,7,13,77.3,30,2,2026-02-05 20:00:00
160,7,13,80.5,44,3,2026-02-07 06:00:00
161,7,14,74.9,71,1,2026-02-07 11:00:00
162,8,1,70.6,135,1,2026-01-28 21:00:00
163,8,2,88.3,147,1,2026-01-29 01:00:00
164,8,2,48.3,127,2,2026-01-30 05:00:00
165,8,2,54.9,141,3,2026-02-01 04:00:00
166,8,3,54.3,136,1,2026-02-02 19:00:00
167,8,3,41.0,163,2,2026-02-03 03:00:00
168,8,4,50.6,145,1,2026-02-04 02:00:00
169,8,4,57.2,146,2,2026-02-05 07:00:00
170,8,4,40.4,131,3,2026-02-06 18:00:00
171,8,5,58.5,130,1,2026-02-07 10:00:00
172,8,5,63.7,131,2,2026-02-08 12:00:00
173,8,5,59.6,147,3,2026-02-08 22:00:00
174,8,6,96.1,131,1,2026-02-10 00:00:00
175,8,7,89.0,145,1,2026-02-11 10:00:00
176,8,8,46.5,181,1,2026-02-12 14:00:00
177,8,8,52.7,157,2,2026-02-13 15:00:00
178,8,8,49.5,133,3,2026-02-14 06:00:00
179,8,9,60.9,164,1,2026-02-15 03:00:00
180,8,10,47.1,131,1,2026-02-16 22:00:00
181,8,11,65.6,99,1,2026-02-18 01:00:00
182,8,12,43.7,119,1,2026-02-18 19:00:00
183,8,13,41.6,102,1,2026-02-19 01:00:00
184,8,14,66.0,132,1,2026-02-19 13:00:00
185,8,14,76.7,140,2,2026-02-20 18:00:00
186,8,14,36.7,173,3,2026-02-20 23:00:00
187,8,15,53.7,146,1,2026-02-22 13:00:00
188,8,16,45.2,135,1,2026-02-23 00:00:00
189,8,17,82.6,156,1,2026-02-24 20:00:00
190,8,17,35.5,95,2,2026-02-26 15:00:00
191,8,17,73.4,144,3,2026-02-28 10:00:00
192,8,18,46.3,155,1,2026-03-01 02:00:00
193,8,18,57.5,110,2,2026-03-02 13:00:00
194,8,18,72.7,162,3,2026-03-02 17:00:00
195,8,19,55.7,146,1,2026-03-03 03:00:00
196,8,20,64.0,131,1,2026-03-03 18:00:00
197,9,1,56.5,102,1,2026-01-14 04:00:00
198,9,2,80.3,135,1,2026-01-14 13:00:00
199,9,2,81.6,93,2,2026-01-15 22:00:00
200,9,3,32.3,94,1,2026-01-16 10:00:00
201,9,4,88.3,80,1,2026-01-18 09:00:00
202,9,4,49.5,73,2,2026-01-18 21:00:00
203,9,4,79.4,106,3,2026-01-19 05:00:00
204,9,5,50.7,72,1,2026-01-21 03:00:00
205,9,6,89.2,91,1,2026-01-22 05:00:00
206,9,7,64.7,80,1,2026-01-23 15:00:00
207,9,8,81.4,99,1,2026-01-24 09:00:00
208,9,9,73.6,96,1,2026-01-25 20:00:00
209,9,10,72.7,110,1,2026-01-27 11:00:00
210,9,11,44.5,79,1,2026-01-28 20:00:00
211,10,1,34.5,134,1,2026-01-30 03:00:00
212,10,1,89.0,120,2,2026-01-31 04:00:00
213,10,1,96.9,131,3,2026-02-02 04:00:00
214,10,2,37.5,147,1,2026-02-03 00:00:00
215,10,3,31.9,155,1,2026-02-03 10:00:00
216,10,3,53.5,121,2,2026-02-04 18:00:00
217,10,4,50.3,157,1,2026-02-06 11:00:00
218,10,4,89.7,167,2,2026-02-06 23:00:00
219,10,5,40.9,148,1,2026-02-08 23:00:00
220,10,5,88.1,177,2,2026-02-09 11:00:00
221,10,5,42.5,124,3,2026-02-11 11:00:00
222,10,6,55.9,115,1,2026-02-11 23:00:00
223,10,6,58.3,104,2,2026-02-13 23:00:00
224,10,6,58.3,169,3,2026-02-15 15:00:00
225,10,7,90.1,153,1,2026-02-16 19:00:00
226,10,8,71.9,138,1,2026-02-17 15:00:00
227,10,8,94.4,145,2,2026-02-19 05:00:00
228,10,8,39.5,117,3,2026-02-21 02:00:00
229,10,9,68.9,188,1,2026-02-22 08:00:00
230,10,9,64.7,142,2,2026-02-23 04:00:00
231,10,10,37.8,142,1,2026-02-24 18:00:00
232,10,10,90.5,154,2,2026-02-26 02:00:00
233,10,10,71.2,149,3,2026-02-27 14:00:00
234,10,11,36.2,144,1,2026-02-28 23:00:00
235,10,12,52.0,124,1,2026-03-02 10:00:00
236,10,12,50.8,149,2,2026-03-03 04:00:00
237,10,13,56.5,177,1,2026-03-03 22:00:00
238,10,13,54.7,166,2,2026-03-04 15:00:00
239,10,14,39.7,171,1,2026-03-06 10:00:00
240,10,14,51.6,129,2,2026-03-06 21:00:00
241,10,14,50.3,120,3,2026-03-08 00:00:00
